date,cnt
10/5/2020,294
5/13/2009,113
5/16/2022,532
8/10/2015,103
7/29/2016,146
9/16/2020,299
12/24/2009,62
11/15/2018,140
2/8/2021,386
9/22/2011,100
7/27/2018,156
1/7/2015,156
4/2/2021,371
9/18/2022,1015
3/3/2022,583
10/29/2010,63
2/5/2022,552
9/12/2020,297
5/5/2008,20
8/7/2021,339
4/11/2022,653
3/19/2013,133
10/27/2022,1791
12/3/2013,96
10/28/2018,131
6/14/2020,275
9/22/2020,310
11/22/2014,114
9/10/2015,99
3/10/2015,99
6/17/2011,121
7/13/2018,133
7/2/2018,135
3/11/2009,130
5/21/2021,328
3/20/2011,115
5/6/2018,123
11/17/2020,316
4/2/2022,551
9/17/2022,1028
7/19/2018,130
9/30/2018,183
11/9/2021,439
7/27/2012,119
9/7/2022,983
5/25/2022,662
8/12/2022,1184
8/16/2016,135
12/29/2020,324
4/10/2015,87
12/24/2013,89
9/29/2022,2055
6/24/2020,246
1/6/2013,99
3/25/2018,123
7/22/2009,152
2/4/2009,67
12/25/2017,123
11/2/2011,111
1/24/2013,106
7/14/2021,346
4/30/2021,316
5/24/2020,270
8/31/2008,12
2/8/2019,155
8/28/2020,348
2/26/2017,113
8/22/2022,866
4/5/2021,338
3/1/2022,559
10/14/2021,427
4/15/2010,127
3/24/2021,343
12/19/2015,106
3/13/2009,128
11/14/2015,146
5/6/2015,85
1/14/2011,100
7/20/2017,150
2/15/2011,150
7/12/2020,255
6/6/2016,83
9/30/2022,1874
11/21/2014,93
2/9/2015,122
8/19/2016,115
3/25/2014,112
3/4/2019,166
1/9/2017,161
8/6/2008,15
2/24/2010,105
7/3/2008,7
8/7/2013,127
6/25/2022,583
9/4/2022,939
9/28/2011,109
5/14/2020,352
3/20/2022,570
11/23/2020,297
12/6/2013,100
10/13/2015,121
7/8/2019,180
11/5/2012,99
11/2/2019,203
11/5/2020,323
5/25/2020,305
1/11/2022,573
9/14/2019,195
8/2/2021,454
3/24/2009,135
1/23/2014,138
